GFDL_varname,CMOR_varname,standard_name,long_name,modeling_realm,cmor_units
tmelt,tmelt,rate_of_melt_at_upper_surface_of_sea_ice,Rate of Melt at Upper Surface of Sea Ice,ocean & ice,kg m-2 s-1
phyc,phyc,mole_concentration_of_phytoplankton_expressed_as_carbon_in_sea_water,Phytoplankton Carbon Concentration at Surface,ocean_biochem,mol m-3
zosga,zosga,global_average_sea_level_change,Global Average Sea Level Change,ocean,m
clw,clw,mass_fraction_of_cloud_liquid_water_in_air,Mass Fraction of Cloud Liquid Water,atmos,1
chl,chl,mass_concentration_of_phytoplankton_expressed_as_chlorophyll_in_sea_water,Total Chlorophyll Mass Concentration,ocean_biochem,kg m-3
cMisc,cMisc,miscellaneous_living_matter_carbon_content,Carbon Mass in Other Living Compartments on Land,land,kg m-2
conv_cld_top,cctClim,air_pressure_at_convective_cloud_top,Air Pressure at Convective Cloud Top,atmos,Pa
swdn_sfc,rsdsClim,surface_downwelling_shortwave_flux_in_air,Surface Downwelling Shortwave Radiation,atmos,W m-2
swdn_toa,rsdt,toa_incoming_shortwave_flux,TOA Incident Shortwave Radiation,atmos,W m-2
gridspec,gridspec,[gridspec_ocean],Gridspec,ocean,
POA_col,loadpoa,atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol,Load of Dry Aerosol Primary Organic Matter,atmos,kg m-2
salt_global_ave,soga,sea_water_salinity,Global Mean Sea Water Salinity,ocean,psu
sic_atm,sic,sea_ice_area_fraction,Sea Ice Area Fraction,seaIce & ocean,%
concsoa,concsoa,mass_concentration_of_secondary_particulate_organic_matter_dry_aerosol_in_air,Concentration of Dry Aerosol Secondary Organic Matter,aerosol,kg m-3
strocnx,strocnx,upward_x_stress_at_sea_ice_base,Eastward Ocean Stress On Sea Ice,ocean & ice,N m-2
frn,frn,tendency_of_ocean_mole_content_of_elemental_nitrogen_due_to_denitrification_and_sedimentation,Nitrogen Loss to Sediments and through Denitrification,ocean_biochem,mol m-2 s-1
