GFDL_varname,CMOR_varname,standard_name,long_name,mipTable,cmor_units
phyfe,phyfe,mole_concentration_of_phytoplankton_expressed_as_iron_in_sea_water,Mole Concentration of Total Phytoplankton expressed as Iron in sea water,Oyr,mol m-3,
physi,physi,mole_concentration_of_phytoplankton_expressed_as_silicon_in_sea_water,Mole Concentration of Total Phytoplankton expressed as Silicon in sea water,Oyr,mol m-3,
dmso,dmso,mole_concentration_of_dimethyl_sulfide_in_sea_water,Mole Concentration of Dimethyl Sulphide in sea water,Oyr,mol m-3,
co3,co3,mole_concentration_of_carbonate_expressed_as_carbon_in_sea_water,Carbonate Ion Concentration,Oyr,mol m-3,
co3satcalc,co3satcalc,mole_concentration_of_carbonate_expressed_as_carbon_at_equilibrium_with_pure_calcite_in_sea_water,Mole Concentration of Carbonate Ion in Equilibrium with Pure Calcite in sea water,Oyr,mol m-3,
co3satarag,co3satarag,mole_concentration_of_carbonate_expressed_as_carbon_at_equilibrium_with_pure_aragonite_in_sea_water,Mole Concentration of Carbonate Ion in Equilibrium with Pure Aragonite in sea water,Oyr,mol m-3,
pp,pp,tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_net_primary_production,Primary Carbon Production by Total Phytoplankton,Oyr,mol m-3 s-1,
pnitrate,pnitrate,tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_nitrate_utilization,Primary Carbon Production by Phytoplankton due to Nitrate Uptake Alone,Oyr,mol m-3 s-1,
pbfe,pbfe,tendency_of_mole_concentration_of_iron_in_sea_water_due_to_biological_production,Biogenic Iron Production,Oyr,mol m-3 s-1,
pbsi,pbsi,tendency_of_mole_concentration_of_silicon_in_sea_water_due_to_biological_production,Biogenic Silicon Production,Oyr,mol m-3 s-1,
pcalc,pcalc,tendency_of_mole_concentration_of_calcite_expressed_as_carbon_in_sea_water_due_to_biological_production,Calcite Production,Oyr,mol m-3 s-1,
parag,parag,tendency_of_mole_concentration_of_aragonite_expressed_as_carbon_in_sea_water_due_to_biological_production,Aragonite Production,Oyr,mol m-3 s-1,
expc,expc,sinking_mole_flux_of_particulate_organic_matter_expressed_as_carbon_in_sea_water,Sinking Particulate Organic Carbon Flux,Oyr,mol m-2 s-1,
expn,expn,sinking_mole_flux_of_particulate_organic_nitrogen_in_sea_water,Sinking Particulate Organic Nitrogen Flux,Oyr,mol m-2 s-1,
expp,expp,sinking_mole_flux_of_particulate_organic_phosphorus_in_sea_water,Sinking Particulate Organic Phosphorus Flux,Oyr,mol m-2 s-1,
expfe,expfe,sinking_mole_flux_of_particulate_iron_in_sea_water,Sinking Particulate Iron Flux,Oyr,mol m-2 s-1,
expsi,expsi,sinking_mole_flux_of_particulate_silicon_in_sea_water,Sinking Particulate Silicon Flux,Oyr,mol m-2 s-1,
expcalc,expcalc,sinking_mole_flux_of_calcite_expressed_as_carbon_in_sea_water,Sinking Calcite Flux,Oyr,mol m-2 s-1,
exparag,exparag,sinking_mole_flux_of_aragonite_expressed_as_carbon_in_sea_water,Sinking Aragonite Flux,Oyr,mol m-2 s-1,
remoc,remoc,tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_remineralization,Remineralization of Organic Carbon,Oyr,mol m-3 s-1,
dcalc,dcalc,tendency_of_mole_concentration_of_calcite_expressed_as_carbon_in_sea_water_due_to_dissolution,Calcite Dissolution,Oyr,mol m-3 s-1,
darag,darag,tendency_of_mole_concentration_of_aragonite_expressed_as_carbon_in_sea_water_due_to_dissolution,Aragonite Dissolution,Oyr,mol m-3 s-1,
ppdiat,ppdiat,tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_net_primary_production_by_diatoms,Net Primary Organic Carbon Production by Diatoms,Oyr,mol m-3 s-1,
ppdiaz,ppdiaz,tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_net_primary_production_by_diazotrophs,Net Primary Mole Productivity of Carbon by Diazotrophs,Oyr,mol m-3 s-1,
ppcalc,ppcalc,tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_net_primary_production_by_calcareous_phytoplankton,Net Primary Mole Productivity of Carbon by Calcareous Phytoplankton,Oyr,mol m-3 s-1,
pppico,pppico,tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_net_primary_production_by_picophytoplankton,Net Primary Mole Productivity of Carbon by Picophytoplankton,Oyr,mol m-3 s-1,
ppmisc,ppmisc,tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_net_primary_production_by_miscellaneous_phytoplankton,Net Primary Organic Carbon Production by Other Phytoplankton,Oyr,mol m-3 s-1,
bddtdic,bddtdic,tendency_of_mole_concentration_of_dissolved_inorganic_carbon_in_sea_water_due_to_biological_processes,Rate of Change of Dissolved Inorganic Carbon due to Biological Activity,Oyr,mol m-3 s-1,
bddtdin,bddtdin,tendency_of_mole_concentration_of_dissolved_inorganic_nitrogen_in_sea_water_due_to_biological_processes,Rate of Change of Nitrogen Nutrient due to Biological Activity,Oyr,mol m-3 s-1,
bddtdip,bddtdip,tendency_of_mole_concentration_of_dissolved_inorganic_phosphorus_in_sea_water_due_to_biological_processes,Rate of Change of Dissolved Phosphorus due to Biological Activity,Oyr,mol m-3 s-1,
bddtdife,bddtdife,tendency_of_mole_concentration_of_dissolved_inorganic_iron_in_sea_water_due_to_biological_processes,Rate of Change of Dissolved Inorganic Iron due to Biological Activity,Oyr,mol m-3 s-1,
bddtdisi,bddtdisi,tendency_of_mole_concentration_of_dissolved_inorganic_silicon_in_sea_water_due_to_biological_processes,Rate of Change of Dissolved Inorganic Silicon due to Biological Activity,Oyr,mol m-3 s-1,
bddtalk,bddtalk,tendency_of_sea_water_alkalinity_expressed_as_mole_equivalent_due_to_biological_processes,Rate of Change of Alkalinity due to Biological Activity,Oyr,mol m-3 s-1,
fescav,fescav,tendency_of_mole_concentration_of_dissolved_iron_in_sea_water_due_to_scavenging_by_inorganic_particles,Nonbiogenic Iron Scavenging,Oyr,mol m-3 s-1,
fediss,fediss,tendency_of_mole_concentration_of_dissolved_iron_in_sea_water_due_to_dissolution_from_inorganic_particles,Particle Source of Dissolved Iron,Oyr,mol m-3 s-1,
graz,graz,tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_grazing_of_phytoplankton,Total Grazing of Phytoplankton by Zooplankton,Oyr,mol m-3 s-1,
dissic,dissic,mole_concentration_of_dissolved_inorganic_carbon_in_sea_water,Dissolved Inorganic Carbon Concentration,Omon,mol m-3,
dissicnat,dissicnat,mole_concentration_of_dissolved_inorganic_carbon_natural_analogue_in_sea_water,Natural Dissolved Inorganic Carbon Concentration,Omon,mol m-3,
dissicabio,dissicabio,mole_concentration_of_dissolved_inorganic_carbon_abiotic_analogue_in_sea_water,Abiotic Dissolved Inorganic Carbon Concentration,Omon,mol m-3,
dissi14cabio,dissi14cabio,mole_concentration_of_dissolved_inorganic_14C_in_sea_water,Abiotic Dissolved Inorganic 14Carbon Concentration,Omon,mol m-3,
dissoc,dissoc,mole_concentration_of_dissolved_organic_carbon_in_sea_water,Dissolved Organic Carbon Concentration,Omon,mol m-3,
phyc,phyc,mole_concentration_of_phytoplankton_expressed_as_carbon_in_sea_water,Phytoplankton Carbon Concentration,Omon,mol m-3,
zooc,zooc,mole_concentration_of_zooplankton_expressed_as_carbon_in_sea_water,Zooplankton Carbon Concentration,Omon,mol m-3,
bacc,bacc,mole_concentration_of_bacteria_expressed_as_carbon_in_sea_water,Bacterial Carbon Concentration,Omon,mol m-3,
detoc,detoc,mole_concentration_of_organic_detritus_expressed_as_carbon_in_sea_water,Detrital Organic Carbon Concentration,Omon,mol m-3,
calc,calc,mole_concentration_of_calcite_expressed_as_carbon_in_sea_water,Calcite Concentration,Omon,mol m-3,
arag,arag,mole_concentration_of_aragonite_expressed_as_carbon_in_sea_water,Aragonite Concentration,Omon,mol m-3,
phydiat,phydiat,mole_concentration_of_diatoms_expressed_as_carbon_in_sea_water,Mole Concentration of Diatoms expressed as Carbon in sea water,Omon,mol m-3,
phydiaz,phydiaz,mole_concentration_of_diazotrophs_expressed_as_carbon_in_sea_water,Mole Concentration of Diazotrophs expressed as Carbon in sea water,Omon,mol m-3,
phycalc,phycalc,mole_concentration_of_calcareous_phytoplankton_expressed_as_carbon_in_sea_water,Mole Concentration of Calcareous Phytoplankton expressed as Carbon in sea water,Omon,mol m-3,
phypico,phypico,mole_concentration_of_picophytoplankton_expressed_as_carbon_in_sea_water,Mole Concentration of Picophytoplankton expressed as Carbon in sea water,Omon,mol m-3,
phymisc,phymisc,mole_concentration_of_miscellaneous_phytoplankton_expressed_as_carbon_in_sea_water,Mole Concentration of Miscellaneous Phytoplankton expressed as Carbon in sea water,Omon,mol m-3,
talk,talk,sea_water_alkalinity_expressed_as_mole_equivalent,Total Alkalinity,Omon,mol m-3,
talknat,talknat,sea_water_alkalinity_natural_analogue_expressed_as_mole_equivalent,Natural Total Alkalinity,Omon,mol m-3,
ph,ph,sea_water_ph_reported_on_total_scale,pH,Omon,1,
o2,o2,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water,Dissolved Oxygen Concentration,Omon,mol m-3,
no3,no3,mole_concentration_of_nitrate_in_sea_water,Dissolved Nitrate Concentration,Omon,mol m-3,
nh4,nh4,mole_concentration_of_ammonium_in_sea_water,Dissolved Ammonium Concentration,Omon,mol m-3,
po4,po4,mole_concentration_of_dissolved_inorganic_phosphorus_in_sea_water,Total Dissolved Inorganic Phosphorus Concentration,Omon,mol m-3,
dfe,dfe,mole_concentration_of_dissolved_iron_in_sea_water,Dissolved Iron Concentration,Omon,mol m-3,
si,si,mole_concentration_of_dissolved_inorganic_silicon_in_sea_water,Total Dissolved Inorganic Silicon Concentration,Omon,mol m-3,
chl,chl,mass_concentration_of_phytoplankton_expressed_as_chlorophyll_in_sea_water,Mass Concentration of Total Phytoplankton expressed as Chlorophyll in sea water,Omon,kg m-3,
chldiat,chldiat,mass_concentration_of_diatoms_expressed_as_chlorophyll_in_sea_water,Mass Concentration of Diatoms expressed as Chlorophyll in sea water,Omon,kg m-3,
chldiaz,chldiaz,mass_concentration_of_diazotrophs_expressed_as_chlorophyll_in_sea_water,Mass Concentration of Diazotrophs expressed as Chlorophyll in sea water,Omon,kg m-3,
chlcalc,chlcalc,mass_concentration_of_calcareous_phytoplankton_expressed_as_chlorophyll_in_sea_water,Mass Concentration of Calcareous Phytoplankton expressed as Chlorophyll in sea water,Omon,kg m-3,
chlpico,chlpico,mass_concentration_of_picophytoplankton_expressed_as_chlorophyll_in_sea_water,Mass Concentration of Picophytoplankton expressed as Chlorophyll in sea water,Omon,kg m-3,
chlmisc,chlmisc,mass_concentration_of_miscellaneous_phytoplankton_expressed_as_chlorophyll_in_sea_water,Mass Concentration of Other Phytoplankton expressed as Chlorophyll in sea water,Omon,kg m-3,
pon,pon,mole_concentration_of_particulate_organic_matter_expressed_as_nitrogen_in_sea_water,Mole Concentration of Particulate Organic Matter expressed as Nitrogen in sea water,Omon,mol m-3,
pop,pop,mole_concentration_of_particulate_organic_matter_expressed_as_phosphorus_in_sea_water,Mole Concentration of Particulate Organic Matter expressed as Phosphorus in sea water,Omon,mol m-3,
bfe,bfe,mole_concentration_of_particulate_organic_matter_expressed_as_iron_in_sea_water,Mole Concentration of Particulate Organic Matter expressed as Iron in sea water,Omon,mol m-3,
bsi,bsi,mole_concentration_of_particulate_matter_expressed_as_silicon_in_sea_water,Mole Concentration of Particulate Organic Matter expressed as Silicon in sea water,Omon,mol m-3,
phyn,phyn,mole_concentration_of_phytoplankton_expressed_as_nitrogen_in_sea_water,Mole Concentration of Total Phytoplankton expressed as Nitrogen in sea water,Omon,mol m-3,
phyp,phyp,mole_concentration_of_phytoplankton_expressed_as_phosphorus_in_sea_water,Mole Concentration of Total Phytoplankton expressed as Phosphorus in sea water,Omon,mol m-3,
phyfe,phyfe,mole_concentration_of_phytoplankton_expressed_as_iron_in_sea_water,Mole Concentration of Total Phytoplankton expressed as Iron in sea water,Omon,mol m-3,
physi,physi,mole_concentration_of_phytoplankton_expressed_as_silicon_in_sea_water,Mole Concentration of Total Phytoplankton expressed as Silicon in sea water,Omon,mol m-3,
co3,co3,mole_concentration_of_carbonate_expressed_as_carbon_in_sea_water,Carbonate Ion Concentration,Omon,mol m-3,
co3satcalc,co3satcalc,mole_concentration_of_carbonate_expressed_as_carbon_at_equilibrium_with_pure_calcite_in_sea_water,Mole Concentration of Carbonate Ion in Equilibrium with Pure Calcite in sea water,Omon,mol m-3,
co3satarag,co3satarag,mole_concentration_of_carbonate_expressed_as_carbon_at_equilibrium_with_pure_aragonite_in_sea_water,Mole Concentration of Carbonate Ion in Equilibrium with Pure Aragonite in sea water,Omon,mol m-3,
ppos,ppos,tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_net_primary_production,Primary Carbon Production by Total Phytoplankton,Omon,mol m-3 s-1,
graz,graz,tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_grazing_of_phytoplankton,Total Grazing of Phytoplankton by Zooplankton,Omon,mol m-3 s-1,
expc,expc,sinking_mole_flux_of_particulate_organic_matter_expressed_as_carbon_in_sea_water,Sinking Particulate Organic Carbon Flux,Omon,mol m-2 s-1,
limndiat,limndiat,nitrogen_growth_limitation_of_diatoms,Nitrogen Limitation of Diatoms,Omon,1,
limndiaz,limndiaz,nitrogen_growth_limitation_of_diazotrophs,Nitrogen Limitation of Diazotrophs,Omon,1,
limncalc,limncalc,nitrogen_growth_limitation_of_calcareous_phytoplankton,Nitrogen Limitation of Calcareous Phytoplankton,Omon,1,
limnpico,limnpico,nitrogen_growth_limitation_of_picophytoplankton,Nitrogen Limitation of Picophytoplankton,Omon,1,
limnmisc,limnmisc,nitrogen_growth_limitation_of_miscellaneous_phytoplankton,Nitrogen Limitation of Other Phytoplankton,Omon,1,
limirrdiat,limirrdiat,growth_limitation_of_diatoms_due_to_solar_irradiance,Irradiance Limitation of Diatoms,Omon,1,
limirrdiaz,limirrdiaz,growth_limitation_of_diazotrophs_due_to_solar_irradiance,Irradiance Limitation of Diazotrophs,Omon,1,
limirrcalc,limirrcalc,growth_limitation_of_calcareous_phytoplankton_due_to_solar_irradiance,Irradiance Limitation of Calcareous Phytoplankton,Omon,1,
limirrpico,limirrpico,growth_limitation_of_picophytoplankton_due_to_solar_irradiance,Irradiance Limitation of Picophytoplankton,Omon,1,
limirrmisc,limirrmisc,growth_limitation_of_miscellaneous_phytoplankton_due_to_solar_irradiance,Irradiance Limitation of Other Phytoplankton,Omon,1,
limfediat,limfediat,iron_growth_limitation_of_diatoms,Iron Limitation of Diatoms,Omon,1,
limfediaz,limfediaz,iron_growth_limitation_of_diazotrophs,Iron Limitation of Diazotrophs,Omon,1,
limfecalc,limfecalc,iron_growth_limitation_of_calcareous_phytoplankton,Iron Limitation of Calcareous Phytoplankton,Omon,1,
limfepico,limfepico,iron_growth_limitation_of_picophytoplankton,Iron Limitation of Picophytoplankton,Omon,1,
limfemisc,limfemisc,iron_growth_limitation_of_miscellaneous_phytoplankton,Iron Limitation of Other Phytoplankton,Omon,1,
intpp,intpp,net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_phytoplankton,Primary Organic Carbon Production by All Types of Phytoplankton,Omon,mol m-2 s-1,
intppdiat,intppdiat,net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_diatoms,Net Primary Organic Carbon Production by Diatoms,Omon,mol m-2 s-1,
intppdiaz,intppdiaz,net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_diazotrophs,Net Primary Mole Productivity of Carbon by Diazotrophs,Omon,mol m-2 s-1,
intppcalc,intppcalc,net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_calcareous_phytoplankton,Net Primary Mole Productivity of Carbon by Calcareous Phytoplankton,Omon,mol m-2 s-1,
intpppico,intpppico,net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_picophytoplankton,Net Primary Mole Productivity of Carbon by Picophytoplankton,Omon,mol m-2 s-1,
intppmisc,intppmisc,net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_miscellaneous_phytoplankton,Net Primary Organic Carbon Production by Other Phytoplankton,Omon,mol m-2 s-1,
intpbn,intpbn,tendency_of_ocean_mole_content_of_nitrogen_due_to_biological_production,Nitrogen Production,Omon,mol m-2 s-1,
intpbp,intpbp,tendency_of_ocean_mole_content_of_phosphorus_due_to_biological_production,Phosphorus Production,Omon,mol m-2 s-1,
intpbfe,intpbfe,tendency_of_ocean_mole_content_of_iron_due_to_biological_production,Iron Production,Omon,mol m-2 s-1,
intpbsi,intpbsi,tendency_of_ocean_mole_content_of_silicon_due_to_biological_production,Silicon Production,Omon,mol m-2 s-1,
intpcalcite,intpcalcite,tendency_of_ocean_mole_content_of_calcite_expressed_as_carbon_due_to_biological_production,Calcite Production,Omon,mol m-2 s-1,
intparag,intparag,tendency_of_ocean_mole_content_of_aragonite_expressed_as_carbon_due_to_biological_production,Aragonite Production,Omon,mol m-2 s-1,
intpoc,intpoc,ocean_mass_content_of_particulate_organic_matter_expressed_as_carbon,Particulate Organic Carbon Content,Omon,kg m-2,
spco2,spco2,surface_partial_pressure_of_carbon_dioxide_in_sea_water,Surface Aqueous Partial Pressure of CO2,Omon,Pa,
dpco2,dpco2,surface_carbon_dioxide_partial_pressure_difference_between_sea_water_and_air,Delta PCO2,Omon,Pa,
dpo2,dpo2,surface_molecular_oxygen_partial_pressure_difference_between_sea_water_and_air,Delta PO2,Omon,Pa,
fgco2,fgco2,surface_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon,Surface Downward Flux of Total CO2,Omon,kg m-2 s-1,
fgco2nat,fgco2nat,surface_downward_mass_flux_of_carbon_dioxide_natural_analogue_expressed_as_carbon,Surface Downward Flux of Natural CO2,Omon,kg m-2 s-1,
fgco2abio,fgco2abio,surface_downward_mass_flux_of_carbon_dioxide_abiotic_analogue_expressed_as_carbon,Surface Downward Flux of Abiotic CO2,Omon,kg m-2 s-1,
fg14co2abio,fg14co2abio,surface_downward_mass_flux_of_14C_dioxide_abiotic_analogue_expressed_as_carbon,Surface Downward Flux of Abiotic 14CO2,Omon,kg m-2 s-1,
fgo2,fgo2,surface_downward_mole_flux_of_molecular_oxygen,Surface Downward Flux of O2,Omon,mol m-2 s-1,
fgdms,fgdms,surface_upward_mole_flux_of_dimethyl_sulfide,Surface Upward Flux of DMS,Omon,mol m-2 s-1,
icfriver,icfriver,tendency_of_ocean_mole_content_of_inorganic_carbon_due_to_runoff_and_sediment_dissolution,Flux of Inorganic Carbon Into Ocean Surface by Runoff,Omon,mol m-2 s-1,
fric,fric,tendency_of_ocean_mole_content_of_inorganic_carbon_due_to_sedimentation,Downward Inorganic Carbon Flux at Ocean Bottom,Omon,mol m-2 s-1,
ocfriver,ocfriver,tendency_of_ocean_mole_content_of_organic_carbon_due_to_runoff_and_sediment_dissolution,Flux of Organic Carbon Into Ocean Surface by Runoff,Omon,mol m-2 s-1,
froc,froc,tendency_of_ocean_mole_content_of_organic_carbon_due_to_sedimentation,Downward Organic Carbon Flux at Ocean Bottom,Omon,mol m-2 s-1,
intpn2,intpn2,tendency_of_ocean_mole_content_of_elemental_nitrogen_due_to_fixation,Nitrogen Fixation Rate in Ocean,Omon,mol m-2 s-1,
fsn,fsn,tendency_of_ocean_mole_content_of_elemental_nitrogen_due_to_deposition_and_fixation_and_runoff,Surface Downward Net Flux of Nitrogen,Omon,mol m-2 s-1,
frn,frn,tendency_of_ocean_mole_content_of_elemental_nitrogen_due_to_denitrification_and_sedimentation,Nitrogen Loss to Sediments and through Denitrification,Omon,mol m-2 s-1,
fsfe,fsfe,tendency_of_ocean_mole_content_of_iron_due_to_deposition_and_runoff_and_sediment_dissolution,Surface Downward Net Flux of Iron,Omon,mol m-2 s-1,
frfe,frfe,tendency_of_ocean_mole_content_of_iron_due_to_sedimentation,Iron Loss to Sediments,Omon,mol m-2 s-1,
o2min,o2min,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water_at_shallowest_local_minimum_in_vertical_profile,Oxygen Minimum Concentration,Omon,mol m-3,
zo2min,zo2min,depth_at_shallowest_local_minimum_in_vertical_profile_of_mole_concentration_of_dissolved_molecular_oxygen_in_sea_water,Depth of Oxygen Minimum Concentration,Omon,m,
zsatcalc,zsatcalc,minimum_depth_of_calcite_undersaturation_in_sea_water,Calcite Saturation Depth,Omon,m,
zsatarag,zsatarag,minimum_depth_of_aragonite_undersaturation_in_sea_water,Aragonite Saturation Depth,Omon,m,
fddtdic,fddtdic,tendency_of_ocean_mole_content_of_dissolved_inorganic_carbon,Rate of Change of Net Dissolved Inorganic Carbon,Omon,mol m-2 s-1,
fddtdin,fddtdin,tendency_of_ocean_mole_content_of_dissolved_inorganic_nitrogen,Rate of Change of Net Dissolved Inorganic Nitrogen,Omon,mol m-2 s-1,
fddtdip,fddtdip,tendency_of_ocean_mole_content_of_dissolved_inorganic_phosphorus,Rate of Change of Net Dissolved Inorganic Phosphorus,Omon,mol m-2 s-1,
fddtdife,fddtdife,tendency_of_ocean_mole_content_of_dissolved_inorganic_iron,Rate of Change of Net Dissolved Inorganic Iron,Omon,mol m-2 s-1,
fddtdisi,fddtdisi,tendency_of_ocean_mole_content_of_dissolved_inorganic_silicon,Rate of Change of Net Dissolved Inorganic Silicon,Omon,mol m-2 s-1,
fddtalk,fddtalk,integral_wrt_depth_of_tendency_of_sea_water_alkalinity_expressed_as_mole_equivalent,Rate of Change of Total Alkalinity,Omon,mol m-2 s-1,
fbddtdic,fbddtdic,tendency_of_ocean_mole_content_of_dissolved_inorganic_carbon_due_to_biological_processes,Rate of Change of Dissolved Inorganic Carbon due to Biological Activity,Omon,mol m-2 s-1,
fbddtdin,fbddtdin,tendency_of_ocean_mole_content_of_dissolved_inorganic_nitrogen_due_to_biological_processes,Rate of Change of Dissolved Inorganic Nitrogen due to Biological Activity,Omon,mol m-2 s-1,
fbddtdip,fbddtdip,tendency_of_ocean_mole_content_of_dissolved_inorganic_phosphorus_due_to_biological_processes,Rate of Change of Dissolved Inorganic Phosphorus due to Biological Activity,Omon,mol m-2 s-1,
fbddtdife,fbddtdife,tendency_of_ocean_mole_content_of_dissolved_inorganic_iron_due_to_biological_processes,Rate of Change of Dissolved Inorganic Iron due to Biological Activity,Omon,mol m-2 s-1,
fbddtdisi,fbddtdisi,tendency_of_ocean_mole_content_of_dissolved_inorganic_silicon_due_to_biological_processes,Rate of Change of Dissolved Inorganic Silicon due to Biological Activity,Omon,mol m-2 s-1,
fbddtalk,fbddtalk,integral_wrt_depth_of_tendency_of_sea_water_alkalinity_expressed_as_mole_equivalent_due_to_biological_processes,Rate of Change of Biological Alkalinity due to Biological Activity,Omon,mol m-2 s-1,
chlos,chlos,mass_concentration_of_phytoplankton_expressed_as_chlorophyll_in_sea_water,Surface Mass Concentration of Total Phytoplankton expressed as Chlorophyll in sea water,Oday,kg m-3,
phycos,phycos,mole_concentration_of_phytoplankton_expressed_as_carbon_in_sea_water,Surface Phytoplankton Carbon Concentration,Oday,mol m-3,
deptho,deptho,sea_floor_depth_below_geoid,Sea Floor Depth Below Geoid,Ofx,m,
masscello,masscello,sea_water_mass_per_unit_area,Ocean Grid-Cell Mass per area,Ofx,kg m-2,
areacello,areacello,cell_area,Grid-Cell Area,Ofx,m2,
sftof,sftof,sea_area_fraction,Sea Area Fraction,Ofx,%,
basin,basin,region,Region Selection Index,Ofx,1,
hfgeou,hfgeou,upward_geothermal_heat_flux_at_sea_floor,Upward Geothermal Heat Flux at Sea Floor,Ofx,W m-2,
opottemptend,opottemptend,tendency_of_sea_water_potential_temperature_expressed_as_heat_content,tendency of sea water potential temperature expressed as heat content,Oyr,W m-2,
opottemppadvect,opottemppadvect,tendency_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_parameterized_eddy_advection,tendency of sea water potential temperature expressed as heat content due to parameterized eddy advection,Oyr,W m-2,
opottemppmdiff,opottemppmdiff,tendency_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_parameterized_mesoscale_eddy_diffusion,tendency of sea water potential temperature expressed as heat content due to parameterized mesoscale diffusion,Oyr,W m-2,
opottemppsmadvect,opottemppsmadvect,tendency_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_parameterized_submesoscale_eddy_advection,tendency of sea water potential temperature expressed as heat content due to parameterized submesoscale advection,Oyr,W m-2,
opottempdiff,opottempdiff,tendency_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_parameterized_eddy_dianeutral_mixing,tendency of sea water potential temperature expressed as heat content due to parameterized dianeutral mixing,Oyr,W m-2,
ocontemptend,ocontemptend,tendency_of_sea_water_conservative_temperature_expressed_as_heat_content,tendency of sea water conservative temperature expressed as heat content,Oyr,W m-2,
ocontemppadvect,ocontemppadvect,tendency_of_sea_water_conservative_temperature_expressed_as_heat_content_due_to_parameterized_eddy_advection,tendency of sea water conservative temperature expressed as heat content due to parameterized eddy advection,Oyr,W m-2,
ocontemppmdiff,ocontemppmdiff,tendency_of_sea_water_conservative_temperature_expressed_as_heat_content_due_to_parameterized_mesoscale_eddy_diffusion,tendency of sea water conservative temperature expressed as heat content due to parameterized mesoscale diffusion,Oyr,W m-2,
ocontemppsmadvect,ocontemppsmadvect,tendency_of_sea_water_conservative_temperature_expressed_as_heat_content_due_to_parameterized_submesoscale_eddy_advection,tendency of sea water conservative temperature expressed as heat content due to parameterized submesoscale advection,Oyr,W m-2,
ocontempdiff,ocontempdiff,tendency_of_sea_water_conservative_temperature_expressed_as_heat_content_due_to_parameterized_eddy_dianeutral_mixing,tendency of sea water conservative temperature expressed as heat content due to parameterized dianeutral mixing,Oyr,W m-2,
osalttend,osalttend,tendency_of_sea_water_salinity_expressed_as_salt_content,tendency of sea water salinity expressed as salt content,Oyr,kg m-2 s-1,
osaltpadvect,osaltpadvect,tendency_of_sea_water_salinity_expressed_as_salt_content_due_to_parameterized_eddy_advection,tendency of sea water salinity expressed as salt content due to parameterized eddy advection,Oyr,kg m-2 s-1,
osaltpmdiff,osaltpmdiff,tendency_of_sea_water_salinity_expressed_as_salt_content_due_to_parameterized_mesoscale_eddy_diffusion,tendency of sea water salinity expressed as salt content due to parameterized mesoscale diffusion,Oyr,kg m-2 s-1,
osaltpsmadvect,osaltpsmadvect,tendency_of_sea_water_salinity_expressed_as_salt_content_due_to_parameterized_submesoscale_eddy_advection,tendency of sea water salinity expressed as salt content due to parameterized submesoscale advection,Oyr,kg m-2 s-1,
osaltdiff,osaltdiff,tendency_of_sea_water_salinity_expressed_as_salt_content_due_to_parameterized_eddy_dianeutral_mixing,tendency of sea water salinity expressed as salt content due to parameterized dianeutral mixing,Oyr,kg m-2 s-1,
difvho,difvho,ocean_vertical_heat_diffusivity,ocean vertical heat diffusivity,Oyr,m2 s-1,
difvso,difvso,ocean_vertical_salt_diffusivity,ocean vertical salt diffusivity,Oyr,m2 s-1,
tnpeo,tnpeo,tendency_of_ocean_potential_energy_content,tendency of ocean potential energy content,Oyr,W m-2,
diftrblo,diftrblo,ocean_tracer_laplacian_diffusivity_due_to_parameterized_mesoscale_eddy_advection,ocean tracer diffusivity due to parameterized mesoscale advection,Oyr,m2 s-1,
diftrelo,diftrelo,ocean_tracer_epineutral_laplacian_diffusivity,ocean tracer epineutral laplacian diffusivity,Oyr,m2 s-1,
tnkebto,tnkebto,tendency_of_ocean_eddy_kinetic_energy_content_due_to_parameterized_eddy_advection,tendency of ocean eddy kinetic energy content due to parameterized eddy advection,Oyr,W m-2,
